name,brief description,proximity,fulladdress,street address,city,state,zip code,phone number,web site,hours of operation,intake,fee,features,detailed description,eligibility,application procedure,required documents,age restriction,languages,borough,branch page,branch history page,lon,lat
Arlington Library,Arlington branch of the Brooklyn Public Library system.,,"203 Arlington Avenue, BROOKLYN, NY, 11207",203 Arlington Avenue,BROOKLYN,NY,11207,(718) 277-6105,http://www.brooklynpubliclibrary.org,Mon - Tue: 10:00 AM - 6:00 PM; Wed: 1:00 PM - 8:00 PM; Thu: 10:00 AM - 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,"Adult Literacy, Computers",,,,,,,brooklyn,http://www.bklynlibrary.org/locations/arlington,http://www.bklynlibrary.org/locations/arlington/history,-73.887231,40.680631
Arverne Library,"The Queens Public Library provides all residents of Queens with access to books, research, and other materials and programs. ",,"312 Beach 54 Street, ARVERNE, NY, 11692",312 Beach 54 Street,ARVERNE,NY,11692,(718) 634-4784,http://www.queenslibrary.org,Mon: 12:00 PM - 8:00 PM; Tue: 1:00 PM - 6:00 PM; Wed: 10:00 AM - 6:00 PM; Thu: 12:00 PM - 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,"Computers, Early Childhood Discussions, English Classes, Poetry Readings, Senior Programs",,,,,,,queens,,,-73.784068,40.593119
Astoria Library,"The Queens Public Library provides all residents of Queens with access to books, research, and other materials and programs.",,"14-01 Astoria Boulevard, ASTORIA, NY, 11102",14-01 Astoria Boulevard,ASTORIA,NY,11102,(718) 278-2220,http://www.queenslibrary.org,Mon: 12:00 PM - 8:00 PM; Tue: 1:00 PM - 6:00 PM; Wed: 10:00 AM - 6:00 PM; Thu: 12:00 PM - 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,"Computers, Early Childhood Discussions, English Classes, Poetry Readings, Senior Programs",,,,,,,queens,,,-73.928697,40.772321
Auburndale Library,"The Queens Public Library provides all residents of Queens with access to books, research, and other materials and programs. ",,"25-55 Francis Lewis Boulevard, FLUSHING, NY, 11358",25-55 Francis Lewis Boulevard,FLUSHING,NY,11358,(718) 352-2027,http://www.queenslibrary.org,Mon: 12:00 PM - 8:00 PM; Tue: 1:00 PM - 6:00 PM; Wed: 10:00 AM - 6:00 PM; Thu: 1:00 PM - 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,"Computers, Early Childhood Discussions, English Classes, Poetry Readings, Senior Programs",,,,,,,queens,,,-73.81188,40.75559
Baisley Park Library,"The Queens Public Library provides all residents of Queens with access to books, research, and other materials and programs.",,"117-11 Sutphin Boulevard, JAMAICA, NY, 11436",117-11 Sutphin Boulevard,JAMAICA,NY,11436,(718) 529-1590,http://www.queenslibrary.org,Mon: 12:00 PM - 8:00 PM; Tue: 1:00 PM - 6:00 PM; Wed: 10:00 AM - 6:00 PM; Thu: 12:00 PM - 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,"Computers, Early Childhood Discussions, English Classes, Poetry Readings, Senior Programs",,,,,,,queens,,,-73.807005,40.699123
Battery Park Library,Manhattan branch of the New York Public Library system.,,"175 North End Avenue, NEW YORK, NY, 10282",175 North End Avenue,NEW YORK,NY,10282,(212) 790-3499,http://www.nypl.org,Mon: 10:00 AM - 6:00 PM; Tue: 12:00 AM - 8:00 PM; Wed: 10:00 AM - 6:00 PM; Thu: 12:00 PM - 8:00 PM; Fri - Sat: 10:00 AM - 5:00 PM,,,,,,,,,,,https://www.nypl.org/locations/battery-park-city,https://www.nypl.org/about/locations/battery-park-city,-74.015851,40.715536
Bay Ridge Library,Bay Ridge branch of the Brooklyn Public Library system.,,"7223 Ridge Boulevard, BROOKLYN, NY, 11209",7223 Ridge Boulevard,BROOKLYN,NY,11209,(718) 748-5709,http://www.brooklynpubliclibrary.org,Mon - Tue: 10:00 AM - 6:00 PM; Wed: 10:00 AM - 8:00 PM; Thu: 1:00 PM - 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,Computers,,,,,,,brooklyn,www.bklynlibrary.org/locations/bay-ridge,www.bklynlibrary.org/locations/bay-ridge/history,-74.029651,40.633636
Bay Terrace Library,"The Queens Public Library provides all residents of Queens with access to books, research, and other materials and programs.",,"18-36 Bell Boulevard, BAYSIDE, NY, 11360",18-36 Bell Boulevard,BAYSIDE,NY,11360,(718) 423-7004,http://www.queenslibrary.org,Mon: 12:00 PM - 8:00 PM; Tue: 1:00 PM - 6:00 PM; Wed: 10:00 AM - 6:00 PM; Thu: 12:00 PM - 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,"Computers, Early Childhood Discussions, English Classes, Poetry Readings, Senior Programs",,,,,,,queens,,,-73.776868,40.782591
Baychester Library,Bronx branch of the New York Public Library system.,,"2049 Asch Loop North, BRONX, NY, 10475",2049 Asch Loop North,BRONX,NY,10475,(718) 379-6700,http://www.nypl.org,Mon - Thu: 10:00 AM - 7:00 PM; Fri - Sat: 10:00 AM - 5:00 PM,,,"Computers, Early Childhood Discussions, Senior Programs",,,,,,,bronx,,,-73.864416,40.848783
Bayside Library,"The Queens Public Library provides all residents of Queens with access to books, research, and other materials and programs.",,"214-20 Northern Boulevard, BAYSIDE, NY, 11361",214-20 Northern Boulevard,BAYSIDE,NY,11361,(718) 229-1834,http://www.queenslibrary.org,Mon: 9:00 AM - 8:00 PM; Tue: 1:00 PM - 6:00 PM; Wed: 10:00 AM - 6:00 PM; Thu: 12:00 PM - 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,"Computers, Early Childhood Discussions, English Classes, Poetry Readings, Senior Programs",,,,,,,queens,,,-73.768379,40.760221
Bedford Learning Center Library,Bedford Learning Center branch of the Brooklyn Public Library system.,,"496 Franklin Avenue, BROOKLYN, NY, 11238",496 Franklin Avenue,BROOKLYN,NY,11238,(718) 623-2134,http://www.brooklynpubliclibrary.org,Mon: 1:00 PM - 8:00 PM; Tue: 10:00 AM - 5:00 PM; Wed: 1:00 PM - 8:00 PM; Thu: 10:00 AM - 5:00 PM; Sat: 10:00 AM - 2:00 PM,,,Computers,,,,,,,brooklyn,,,-73.956021,40.681831
Bedford Library,Bedford branch of the Brooklyn Public Library system. ,,"496 Franklin Avenue, BROOKLYN, NY, 11238",496 Franklin Avenue,BROOKLYN,NY,11238,(718) 623-0012,http://www.brooklynpubliclibrary.org,Mon - Tue: 10:00 AM - 6:00 PM; Wed: 1:00 PM - 8:00 PM; Thu: 10:00 AM - 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,"Adult Literacy, Computers",,,,,,,brooklyn,http://www.bklynlibrary.org/locations/bedford,http://www.bklynlibrary.org/locations/bedford/history,-73.956021,40.681831
Bellerose Library,"The Queens Public Library provides all residents of Queens with access to books, research, and other materials and programs.",,"250-06 Hillside Avenue, BELLEROSE, NY, 11426",250-06 Hillside Avenue,BELLEROSE,NY,11426,(718) 831-8644,http://www.queenslibrary.org,Mon: 12:00 PM - 8:00 PM; Tue: 1:00 PM - 6:00 PM; Wed: 10:00 AM - 6:00 PM; Thu: 12:00 PM - 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,"Computers, Early Childhood Discussions, English Classes, Poetry Readings, Senior Programs",,,,,,,queens,,,-73.725798,40.737396
Belmont Library,Bronx branch of the New York Public Library system.,,"610 East 186th Street, BRONX, NY, 10458",610 East 186th Street,BRONX,NY,10458,(718) 933-6410,http://www.nypl.org,Mon - Thu: 10:00 AM - 7:00 PM; Fri - Sat: 10:00 AM - 5:00 PM,,,"Early Childhood Discussions, English Classes, Senior Programs",,,,,,,bronx,https://www.nypl.org/locations/belmont,https://www.nypl.org/about/locations/belmont,-73.887815,40.854458
Bloomingdale Library,Manhattan branch of the New York Public Library system.,,"150 West 100th Street, NEW YORK, NY, 10025",150 West 100th Street,NEW YORK,NY,10025,(212) 222-8030,http://www.nypl.org,Mon - Tue: 10:00 AM - 6:00 PM; Wed - Thu: 12:00 PM - 7:00 PM; Fri - Sat: 10:00 AM - 5:00 PM,,,"Early Childhood Discussions, Poetry Readings, Senior Programs",,,,,,,manhattan,https://www.nypl.org/locations/bloomingdale,https://www.nypl.org/about/locations/bloomingdale,-73.967511,40.795887
Borough Park Library,Borough Park branch of the Brooklyn Public Library system.,,"1265 43rd Street, BROOKLYN, NY, 11219",1265 43rd Street,BROOKLYN,NY,11219,(718) 437-4085,http://www.brooklynpubliclibrary.org,Mon: 10:00 AM - 6:00 PM; Tue: 10:00 AM - 8:00 PM; Wed: 10:00 AM - 6:00 PM; Thu: 10:00 AM - 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sun: 1:00 PM - 5:00 PM,,,"Adult Literacy, Computers, Early Childhood Discussions",,,,,,,brooklyn,http://www.bklynlibrary.org/locations/borough-park,http://www.bklynlibrary.org/locations/borough-park/history,-73.989007,40.638846
Briarwood Library,"The Queens Public Library provides all residents of Queens with access to books, research, and other materials and programs.",,"85-12 Main Street, JAMAICA, NY, 11435",85-12 Main Street,JAMAICA,NY,11435,(718) 658-1680,http://www.queenslibrary.org,Mon: 12:00 PM - 8:00 PM; Tue: 1:00 PM - 6:00 PM; Wed: 10:00 AM - 6:00 PM; Thu: 12:00 PM - 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,"Computers, Early Childhood Discussions, English Classes, Poetry Readings, Senior Programs",,,,,,,queens,,,-73.795405,40.70009
Brighton Beach Library,Brighton Beach branch of the Brooklyn Public Library system. ,,"16 Brighton 1st Road, BROOKLYN, NY, 11235",16 Brighton 1st Road,BROOKLYN,NY,11235,(718) 946-2917,http://www.brooklynpubliclibrary.org,Mon: 10:00 AM - 6:00 PM; Tue: 10:00 AM - 8:00 PM; Wed - Thu: 10:00 AM - 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,"Adult Literacy, Computers, Early Childhood Discussions",,,,,,,brooklyn,,,-73.966613,40.576195
Broad Channel Library,"The Queens Public Library provides all residents of Queens with access to books, research, and other materials and programs.",,"16-26 Cross Bay Boulevard, FAR ROCKAWAY, NY, 11693",16-26 Cross Bay Boulevard,FAR ROCKAWAY,NY,11693,(718) 318-4943,http://www.queenslibrary.org,Mon: 12:00 PM - 8:00 PM; Tue: 1:00 PM - 6:00 PM; Wed: 10:00 AM - 6:00 PM; Thu: 12:00 PM - 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,"Computers, Early Childhood Discussions, English Classes, Poetry Readings, Senior Programs",,,,,,,queens,,,-73.750523,40.599546
Broadway Library,"The Queens Public Library provides all residents of Queens with access to books, research, and other materials and programs.",,"40-20 Broadway, ASTORIA, NY, 11103",40-20 Broadway,ASTORIA,NY,11103,(718) 721-2462,http://www.queenslibrary.org,Mon: 9:00 AM - 8:00 PM; Tue: 1:00 PM - 6:00 PM; Wed: 10:00 AM - 6:00 PM; Thu: 12:00 PM - 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,"Computers, Early Childhood Discussions, English Classes, Poetry Readings, Senior Programs",,,,,,,queens,,,-73.915433,40.769683
Bronx Library Center,Bronx branch of the New York Public Library. ,,"310 East Kingsbridge Road, BRONX, NY, 10458",310 East Kingsbridge Road,BRONX,NY,10458,(718) 579-4244,http://www.nypl.org,Mon - Sat: 9:00 AM - 9:00 PM; Sun: 12:00 PM - 6:00 PM,,,"Computers, English Classes",,,,,,,bronx,https://www.nypl.org/locations/bronx-library-center,https://www.nypl.org/about/locations/bronx-library-center,-73.894394,40.862978
Brooklyn Heights Library,Brooklyn Heights branch of the Brooklyn Public Library system.,,"280 Cadman Plaza West, BROOKLYN, NY, 11201",280 Cadman Plaza West,BROOKLYN,NY,11201,(718) 623-7100,http://www.brooklynpubliclibrary.org,Mon: 10:00 AM - 6:00 PM; Tue - Wed: 10:00 AM - 8:00 PM; Thu: 10:00 AM - 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,Computers,,,,,,,brooklyn,,,-73.991223,40.695673
Brower Park Library,Brower Park branch of the Brooklyn Public Library system.,,"725 Saint Marks Avenue, BROOKLYN, NY, 11216",725 Saint Marks Avenue,BROOKLYN,NY,11216,(718) 773-7208,http://www.brooklynpubliclibrary.org,Mon - Tue: 10:00 AM - 6:00 PM; Wed: 10:00 AM - 8:00 PM; Thu: 1:00 PM - 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,Computers,,,,,,,brooklyn,http://www.bklynlibrary.org/locations/brower-park,http://www.bklynlibrary.org/locations/brower-park/history,-73.948543,40.675344
Brownsville Library,Brownsville branch of the Brooklyn Public Library system.,,"61 Glenmore Avenue, BROOKLYN, NY, 11212",61 Glenmore Avenue,BROOKLYN,NY,11212,(718) 498-9721,http://www.brooklynpubliclibrary.org,Mon: 10:00 AM - 6:00 PM; Tue: 1:00 PM - 8:00 PM; Wed: 10:00 AM - 8:00 PM; Thu - Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,Computers,,,,,,,brooklyn,http://www.bklynlibrary.org/locations/brownsville,http://www.bklynlibrary.org/locations/brownsville/history,-73.90858,40.67145
Bushwick Library,Bushwick branch of the Brooklyn Public Library system.,,"340 Bushwick Avenue, BROOKLYN, NY, 11206",340 Bushwick Avenue,BROOKLYN,NY,11206,(718) 602-1348,http://www.brooklynpubliclibrary.org,Mon - Tue: 10:00 AM - 6:00 PM; Wed; 10:00 AM - 8:00 PM; Thu: 1:00 PM - 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,Computers,,,,,,,brooklyn,www.bklynlibrary.org/locations/bushwick,www.bklynlibrary.org/locations/bushwick/history,-73.939546,40.704573
Business Library - Brooklyn Public Library,Business Library branch of the Brooklyn Public Library system.,,"280 Cadman Plaza West, BROOKLYN, NY, 11201",280 Cadman Plaza West,BROOKLYN,NY,11201,(718) 623-7000,http://www.brooklynpubliclibrary.org,Mon: 10:00 AM - 6:00 PM; Tue - Thu: 10:00 AM - 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,,,,,,,,brooklyn,,,-73.991223,40.695673
Cambria Heights Library,"The Queens Public Library provides all residents of Queens with access to books, research, and other materials and programs.",,"218-13 Linden Boulevard, CAMBRIA HEIGHTS, NY, 11411",218-13 Linden Boulevard,CAMBRIA HEIGHTS,NY,11411,(718) 528-3535,http://www.queenslibrary.org,Mon: 9:00 AM - 8:00 PM; Tue: 1:00 PM - 6:00 PM; Wed: 10:00 AM - 6:00 PM; Thu: 12:00 PM - 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,"Computers, Early Childhood Discussions, English Classes, Poetry Readings, Senior Programs",,,,,,,queens,,,-73.736383,40.69289
Canarsie Library,Canarsie branch of the Brooklyn Public Library system.,,"1580 Rockaway Parkway, BROOKLYN, NY, 11236",1580 Rockaway Parkway,BROOKLYN,NY,11236,(718) 257-6547,http://www.brooklynpubliclibrary.org,Mon: 10:00 AM - 6:00 PM; Tue -Thu: 10:00 AM - 6:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,Computers,,,,,,,brooklyn,,,-73.899443,40.642263
Carroll Gardens Library,Carroll Gardens branch of the Brooklyn Public Library system.,,"396 Clinton Street, BROOKLYN, NY, 11231",396 Clinton Street,BROOKLYN,NY,11231,(718) 596-6972,http://www.brooklynpubliclibrary.org,Mon: 10:00 AM - 6:00 PM; Tue: 10:00 AM - 8:00 PM; Wed: 1:00 PM - 8:00 PM; Thu - Fri: 10:00 PM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,"Computers, Early Childhood Discussions",,,,,,,brooklyn,http://www.bklynlibrary.org/locations/carroll-gardens,http://www.bklynlibrary.org/locations/carroll-gardens/history,-73.997921,40.683186
Castle Hill Library,Bronx branch of the New York Public Library system.,,"947 Castle Hill Avenue, BRONX, NY, 10473",947 Castle Hill Avenue,BRONX,NY,10473,(718) 824-3838,http://www.nypl.org,Mon - Thu: 10:00 AM - 7:00 PM; Fri - Sat: 10:00 AM - 5:00 PM,,,"Computers, Early Childhood Discussions, Senior Programs",,,,,,,bronx,https://www.nypl.org/locations/castle-hill,https://www.nypl.org/about/locations/castle-hill,-73.850032,40.826591
Chatham Square Library,Manhattan branch of the New York Public Library system.,,"33 East Broadway, NEW YORK, NY, 10002",33 East Broadway,NEW YORK,NY,10002,(212) 964-6598,http://www.nypl.org,Mon - Thu: 10:00 AM - 7:00 PM; Fri - Sat: 10:00 AM - 5:00 PM,,,"Computers, Early Childhood Discussions, English Classes, Poetry Readings, Senior Programs",,,,,,,manhattan,https://www.nypl.org/locations/chatham-square,https://www.nypl.org/about/locations/chatham-square,-73.996501,40.713416
City Island Library,Bronx branch of the New York Public Library system.,,"320 City Island Avenue, BRONX, NY, 10464",320 City Island Avenue,BRONX,NY,10464,(718) 885-1703,http://www.nypl.org,Mon: 11:00 AM - 7:00 PM; Tue - Wed: 11:00 AM - 6:00 PM; Thu: 11:00 AM - 7:00 PM; Fri - Sat: 10:00 AM - 5:00 PM,,,Early Childhood Discussions,,,,,,,bronx,https://www.nypl.org/locations/city-island,https://www.nypl.org/about/locations/city-island,-73.786531,40.847805
Clarendon Library,Clarendon branch of the Brooklyn Public Library system.,,"2035 Nostrand Avenue, BROOKLYN, NY, 11210",2035 Nostrand Avenue,BROOKLYN,NY,11210,(718) 421-1159,http://www.brooklynpubliclibrary.org,Mon: 10:00 AM - 6:00 PM; Tue: 1:00 PM - 8:00 PM; Wed: 10:00 AM - 6:00 PM; Thu: 10:00 AM - 6:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,Computers,,,,,,,brooklyn,http://www.bklynlibrary.org/locations/clarendon,http://www.bklynlibrary.org/locations/clarendon/history,-73.947782,40.63566
Clason's Point Library,Bronx branch of the New York Public Library system. ,,"1215 Morrison Avenue, BRONX, NY, 10472",1215 Morrison Avenue,BRONX,NY,10472,(718) 842-1235,http://www.nypl.org,Mon - Thu: 10:00 AM - 7:00 PM; Fri - Sat: 10:00 AM - 5:00 PM,,,Early Childhood Discussions,,,,,,,bronx,https://www.nypl.org/locations/clasons-point,https://www.nypl.org/about/locations/clasons-point,-73.874864,40.830014
Clinton Hill Library,Clinton Hill branch of the Brooklyn Public Library system.,,"380 Washington Avenue, BROOKLYN, NY, 11238",380 Washington Avenue,BROOKLYN,NY,11238,(718) 398-8713,http://www.brooklynpubliclibrary.org,Mon: 10:00 AM - 6:00 PM; Tue: 10:00 AM - 8:00 PM; Wed: 1:00 PM - 8:00 PM; Thu - Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,"Computers, Early Childhood Discussions",,,,,,,brooklyn,http://www.bklynlibrary.org/locations/clinton-hill,http://www.bklynlibrary.org/locations/clinton-hill/history,-73.965943,40.687401
Columbus Library,Manhattan branch of the New York Public Library system. ,,"742 10th Avenue, NEW YORK, NY, 10019",742 10th Avenue,NEW YORK,NY,10019,(212) 586-5098,http://www.nypl.org,Mon: 11:00 AM - 8:00 PM; Tue: 11:00 AM - 6:00 PM; Wed: 11:00 AM - 8:00 PM; Thu: 11:00 AM - 6:00 PM; Fri - Sat: 10:00 AM - 5:00 PM,,,,,,,,,,manhattan,https://www.nypl.org/locations/columbus,https://www.nypl.org/about/locations/columbus,-73.991151,40.764918
Coney Island Learning Center Library,Coney Island Learning Center branch of the Brooklyn Public Library system. ,,"1901 Mermaid Avenue, BROOKLYN, NY, 11224",1901 Mermaid Avenue,BROOKLYN,NY,11224,(718) 265-3880,http://www.brooklynpubliclibrary.org,Mon: 1:00 PM - 8:00 PM; Tue: 10:00 AM - 3:00 PM; Wed: 1:00 PM - 8:00 PM; Thu: 10:00 AM - 3:00 PM; Fri:closed; Sat: 10:00 AM - 2:00 PM; Sun: closed,,,"Adult Literacy, Computers",,,,,,,brooklyn,,,-73.986057,40.576617
Coney Island Library,Coney Island branch of the Brooklyn Public Library system.  ,,"1901 Mermaid Avenue, BROOKLYN, NY, 11224",1901 Mermaid Avenue,BROOKLYN,NY,11224,(718) 265-3220,http://www.brooklynpubliclibrary.org,Mon - Tue: 10:00 AM - 6:00 PM; Wed: 1:00 PM - 8:00 PM; Thu: 10:00 AM - 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,Computers,,,,,,,brooklyn,,,-73.986057,40.576617
Corona Library,"The Queens Public Library provides all residents of Queens with access to books, research, and other materials and programs.",,"38-23 104th Street, CORONA, NY, 11368",38-23 104th Street,CORONA,NY,11368,(718) 426-2844,http://www.queenslibrary.org,Mon: 12:00 PM - 8:00 PM; Tue: 1:00 PM - 6:00 PM; Wed: 10:00 AM - 6:00 PM; Thu: 12:00 PM - 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,"Computers, Early Childhood Discussions, English Classes, Poetry Readings, Senior Programs",,,,,,,queens,,,-73.861991,40.750865
Cortelyou Library,Cortelyou branch of the Brooklyn Public Library system.,,"1305 Cortelyou Road, BROOKLYN, NY, 11226",1305 Cortelyou Road,BROOKLYN,NY,11226,(718) 693-7763,http://www.brooklynpubliclibrary.org,Mon: 10:00 AM - 6:00 PM; Tue: 1:00 PM - 8:00 PM; Wed: 10:00 AM - 8:00 PM; Thu - Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,,,Computers,,,,,,,brooklyn,http://www.bklynlibrary.org/locations/cortelyou,http://www.bklynlibrary.org/locations/cortelyou/history,-73.965895,40.640703
